row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,closing_document,input_row_ids,org_id,period,verdict
H-IAPS-2020,,https://projects.propublica.org/nonprofits/api/v2/organizations/320839313.json,2026-09-14,"{""name"":""Institute For Ai Policy And Strateg Y Inc"",""ein"":320839313,""subsection_code"":3,""ruling_date"":""2026-04-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-IAPS,IAPS,2020,OPEN
H-IAPS-2021,,https://projects.propublica.org/nonprofits/api/v2/organizations/320839313.json,2026-09-14,"{""name"":""Institute For Ai Policy And Strateg Y Inc"",""ein"":320839313,""subsection_code"":3,""ruling_date"":""2026-04-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-IAPS,IAPS,2021,OPEN
H-IAPS-2022,,https://projects.propublica.org/nonprofits/api/v2/organizations/320839313.json,2026-09-14,"{""name"":""Institute For Ai Policy And Strateg Y Inc"",""ein"":320839313,""subsection_code"":3,""ruling_date"":""2026-04-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-IAPS,IAPS,2022,OPEN
H-IAPS-2023,,https://projects.propublica.org/nonprofits/api/v2/organizations/320839313.json,2026-09-14,"{""name"":""Institute For Ai Policy And Strateg Y Inc"",""ein"":320839313,""subsection_code"":3,""ruling_date"":""2026-04-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-IAPS,IAPS,2023,OPEN
H-IAPS-2024,,https://projects.propublica.org/nonprofits/api/v2/organizations/320839313.json,2026-09-14,"{""name"":""Institute For Ai Policy And Strateg Y Inc"",""ein"":320839313,""subsection_code"":3,""ruling_date"":""2026-04-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-IAPS,IAPS,2024,OPEN
H-HORIZON-2019,,https://projects.propublica.org/nonprofits/api/v2/organizations/874657441.json,2026-09-14,"{""name"":""Horizon Institute For Public Service"",""ein"":874657441,""subsection_code"":3,""ruling_date"":""2022-09-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-HORIZON,HORIZON,2019,OPEN
H-HORIZON-2020,,https://projects.propublica.org/nonprofits/api/v2/organizations/874657441.json,2026-09-14,"{""name"":""Horizon Institute For Public Service"",""ein"":874657441,""subsection_code"":3,""ruling_date"":""2022-09-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-HORIZON,HORIZON,2020,OPEN
H-HORIZON-2021,,https://projects.propublica.org/nonprofits/api/v2/organizations/874657441.json,2026-09-14,"{""name"":""Horizon Institute For Public Service"",""ein"":874657441,""subsection_code"":3,""ruling_date"":""2022-09-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-HORIZON,HORIZON,2021,OPEN
H-HORIZON-2022,,https://projects.propublica.org/nonprofits/api/v2/organizations/874657441.json,2026-09-14,"{""name"":""Horizon Institute For Public Service"",""ein"":874657441,""subsection_code"":3,""ruling_date"":""2022-09-01""}",Revenue is available in the linked evidence row.,,R-HORIZON-2022-REV-2006,HORIZON,2022,KEEP
H-HORIZON-2023,,https://projects.propublica.org/nonprofits/api/v2/organizations/874657441.json,2026-09-14,"{""name"":""Horizon Institute For Public Service"",""ein"":874657441,""subsection_code"":3,""ruling_date"":""2022-09-01""}",Revenue is available in the linked evidence row.,,R-HORIZON-2023-REV-1334,HORIZON,2023,KEEP
H-HORIZON-2024,,https://projects.propublica.org/nonprofits/api/v2/organizations/874657441.json,2026-09-14,"{""name"":""Horizon Institute For Public Service"",""ein"":874657441,""subsection_code"":3,""ruling_date"":""2022-09-01""}",Revenue is available in the linked evidence row.,,R-HORIZON-2024-REV-4082,HORIZON,2024,KEEP
H-ARI-2019,,https://projects.propublica.org/nonprofits/api/v2/organizations/933248564.json,2026-09-14,"{""name"":""Americans For Responsible Innovation Ltd"",""ein"":933248564,""subsection_code"":4,""ruling_date"":null}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-ARI,ARI,2019,OPEN
H-ARI-2020,,https://projects.propublica.org/nonprofits/api/v2/organizations/933248564.json,2026-09-14,"{""name"":""Americans For Responsible Innovation Ltd"",""ein"":933248564,""subsection_code"":4,""ruling_date"":null}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-ARI,ARI,2020,OPEN
H-ARI-2021,,https://projects.propublica.org/nonprofits/api/v2/organizations/933248564.json,2026-09-14,"{""name"":""Americans For Responsible Innovation Ltd"",""ein"":933248564,""subsection_code"":4,""ruling_date"":null}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-ARI,ARI,2021,OPEN
H-ARI-2022,,https://projects.propublica.org/nonprofits/api/v2/organizations/933248564.json,2026-09-14,"{""name"":""Americans For Responsible Innovation Ltd"",""ein"":933248564,""subsection_code"":4,""ruling_date"":null}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-ARI,ARI,2022,OPEN
H-ARI-2023,,https://projects.propublica.org/nonprofits/api/v2/organizations/933248564.json,2026-09-14,"{""name"":""Americans For Responsible Innovation Ltd"",""ein"":933248564,""subsection_code"":4,""ruling_date"":null}",Revenue is available in the linked evidence row.,,R-ARI-2023-REV-1504,ARI,2023,KEEP
H-ARI-2024,,https://projects.propublica.org/nonprofits/api/v2/organizations/933248564.json,2026-09-14,"{""name"":""Americans For Responsible Innovation Ltd"",""ein"":933248564,""subsection_code"":4,""ruling_date"":null}",Revenue is available in the linked evidence row.,,R-ARI-2024-REV-2380,ARI,2024,KEEP
H-CRI-2019,,https://projects.propublica.org/nonprofits/api/v2/organizations/990921925.json,2026-09-14,"{""name"":""Center For Responsible Innovation Ltd"",""ein"":990921925,""subsection_code"":3,""ruling_date"":""2024-07-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-CRI,CRI,2019,OPEN
H-CRI-2020,,https://projects.propublica.org/nonprofits/api/v2/organizations/990921925.json,2026-09-14,"{""name"":""Center For Responsible Innovation Ltd"",""ein"":990921925,""subsection_code"":3,""ruling_date"":""2024-07-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-CRI,CRI,2020,OPEN
H-CRI-2021,,https://projects.propublica.org/nonprofits/api/v2/organizations/990921925.json,2026-09-14,"{""name"":""Center For Responsible Innovation Ltd"",""ein"":990921925,""subsection_code"":3,""ruling_date"":""2024-07-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-CRI,CRI,2021,OPEN
H-CRI-2022,,https://projects.propublica.org/nonprofits/api/v2/organizations/990921925.json,2026-09-14,"{""name"":""Center For Responsible Innovation Ltd"",""ein"":990921925,""subsection_code"":3,""ruling_date"":""2024-07-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-CRI,CRI,2022,OPEN
H-CRI-2023,,https://projects.propublica.org/nonprofits/api/v2/organizations/990921925.json,2026-09-14,"{""name"":""Center For Responsible Innovation Ltd"",""ein"":990921925,""subsection_code"":3,""ruling_date"":""2024-07-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-CRI,CRI,2023,OPEN
H-CRI-2024,,https://projects.propublica.org/nonprofits/api/v2/organizations/990921925.json,2026-09-14,"{""name"":""Center For Responsible Innovation Ltd"",""ein"":990921925,""subsection_code"":3,""ruling_date"":""2024-07-01""}",Revenue is available in the linked evidence row.,,R-CRI-2024-REV-2505,CRI,2024,KEEP
H-PC-2019,,https://projects.propublica.org/nonprofits/api/v2/organizations/237104508.json,2026-09-14,"{""name"":""Public Citizen Inc"",""ein"":237104508,""subsection_code"":4,""ruling_date"":""1972-06-01""}",Revenue is available in the linked evidence row.,,R-PC-2019-REV-0848,PC,2019,KEEP
H-PC-2020,,https://projects.propublica.org/nonprofits/api/v2/organizations/237104508.json,2026-09-14,"{""name"":""Public Citizen Inc"",""ein"":237104508,""subsection_code"":4,""ruling_date"":""1972-06-01""}",Revenue is available in the linked evidence row.,,R-PC-2020-REV-0641,PC,2020,KEEP
H-PC-2021,,https://projects.propublica.org/nonprofits/api/v2/organizations/237104508.json,2026-09-14,"{""name"":""Public Citizen Inc"",""ein"":237104508,""subsection_code"":4,""ruling_date"":""1972-06-01""}",Revenue is available in the linked evidence row.,,R-PC-2021-REV-1103,PC,2021,KEEP
H-PC-2022,,https://projects.propublica.org/nonprofits/api/v2/organizations/237104508.json,2026-09-14,"{""name"":""Public Citizen Inc"",""ein"":237104508,""subsection_code"":4,""ruling_date"":""1972-06-01""}",Revenue is available in the linked evidence row.,,R-PC-2022-REV-0121,PC,2022,KEEP
H-PC-2023,,https://projects.propublica.org/nonprofits/api/v2/organizations/237104508.json,2026-09-14,"{""name"":""Public Citizen Inc"",""ein"":237104508,""subsection_code"":4,""ruling_date"":""1972-06-01""}",Revenue is available in the linked evidence row.,,R-PC-2023-REV-0817,PC,2023,KEEP
H-PC-2024,,https://projects.propublica.org/nonprofits/api/v2/organizations/237104508.json,2026-09-14,"{""name"":""Public Citizen Inc"",""ein"":237104508,""subsection_code"":4,""ruling_date"":""1972-06-01""}",Revenue is available in the linked evidence row.,,R-PC-2024-REV-0917,PC,2024,KEEP
H-PCF-2019,,https://projects.propublica.org/nonprofits/api/v2/organizations/521263996.json,2026-09-14,"{""name"":""Public Citizen Foundation Inc"",""ein"":521263996,""subsection_code"":3,""ruling_date"":""1992-06-01""}",Revenue is available in the linked evidence row.,,R-PCF-2019-REV-1210,PCF,2019,KEEP
H-PCF-2020,,https://projects.propublica.org/nonprofits/api/v2/organizations/521263996.json,2026-09-14,"{""name"":""Public Citizen Foundation Inc"",""ein"":521263996,""subsection_code"":3,""ruling_date"":""1992-06-01""}",Revenue is available in the linked evidence row.,,R-PCF-2020-REV-0226,PCF,2020,KEEP
H-PCF-2021,,https://projects.propublica.org/nonprofits/api/v2/organizations/521263996.json,2026-09-14,"{""name"":""Public Citizen Foundation Inc"",""ein"":521263996,""subsection_code"":3,""ruling_date"":""1992-06-01""}",Revenue is available in the linked evidence row.,,R-PCF-2021-REV-1300,PCF,2021,KEEP
H-PCF-2022,,https://projects.propublica.org/nonprofits/api/v2/organizations/521263996.json,2026-09-14,"{""name"":""Public Citizen Foundation Inc"",""ein"":521263996,""subsection_code"":3,""ruling_date"":""1992-06-01""}",Revenue is available in the linked evidence row.,,R-PCF-2022-REV-0124,PCF,2022,KEEP
H-PCF-2023,,https://projects.propublica.org/nonprofits/api/v2/organizations/521263996.json,2026-09-14,"{""name"":""Public Citizen Foundation Inc"",""ein"":521263996,""subsection_code"":3,""ruling_date"":""1992-06-01""}",Revenue is available in the linked evidence row.,,R-PCF-2023-REV-1550,PCF,2023,KEEP
H-PCF-2024,,https://projects.propublica.org/nonprofits/api/v2/organizations/521263996.json,2026-09-14,"{""name"":""Public Citizen Foundation Inc"",""ein"":521263996,""subsection_code"":3,""ruling_date"":""1992-06-01""}",Revenue is available in the linked evidence row.,,R-PCF-2024-REV-1107,PCF,2024,KEEP
H-FAS-2019,,https://projects.propublica.org/nonprofits/api/v2/organizations/237185827.json,2026-09-14,"{""name"":""Federation Of American Scientists"",""ein"":237185827,""subsection_code"":3,""ruling_date"":""1972-07-01""}",Revenue is available in the linked evidence row.,,R-FAS-2019-REV-1636,FAS,2019,KEEP
H-FAS-2020,,https://projects.propublica.org/nonprofits/api/v2/organizations/237185827.json,2026-09-14,"{""name"":""Federation Of American Scientists"",""ein"":237185827,""subsection_code"":3,""ruling_date"":""1972-07-01""}",Revenue is available in the linked evidence row.,,R-FAS-2020-REV-2667,FAS,2020,KEEP
H-FAS-2021,,https://projects.propublica.org/nonprofits/api/v2/organizations/237185827.json,2026-09-14,"{""name"":""Federation Of American Scientists"",""ein"":237185827,""subsection_code"":3,""ruling_date"":""1972-07-01""}",Revenue is available in the linked evidence row.,,R-FAS-2021-REV-1237,FAS,2021,KEEP
H-FAS-2022,,https://projects.propublica.org/nonprofits/api/v2/organizations/237185827.json,2026-09-14,"{""name"":""Federation Of American Scientists"",""ein"":237185827,""subsection_code"":3,""ruling_date"":""1972-07-01""}",Revenue is available in the linked evidence row.,,R-FAS-2022-REV-1686,FAS,2022,KEEP
H-FAS-2023,,https://projects.propublica.org/nonprofits/api/v2/organizations/237185827.json,2026-09-14,"{""name"":""Federation Of American Scientists"",""ein"":237185827,""subsection_code"":3,""ruling_date"":""1972-07-01""}",Revenue is available in the linked evidence row.,,R-FAS-2023-REV-8123,FAS,2023,KEEP
H-FAS-2024,,https://projects.propublica.org/nonprofits/api/v2/organizations/237185827.json,2026-09-14,"{""name"":""Federation Of American Scientists"",""ein"":237185827,""subsection_code"":3,""ruling_date"":""1972-07-01""}",Revenue is available in the linked evidence row.,,R-FAS-2024-REV-3450,FAS,2024,KEEP
H-PROGRESS-2019,,https://projects.propublica.org/nonprofits/api/v2/organizations/853963084.json,2026-09-14,"{""name"":""Chamber Of Progress"",""ein"":853963084,""subsection_code"":6,""ruling_date"":""2021-08-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-PROGRESS,PROGRESS,2019,OPEN
H-PROGRESS-2020,,https://projects.propublica.org/nonprofits/api/v2/organizations/853963084.json,2026-09-14,"{""name"":""Chamber Of Progress"",""ein"":853963084,""subsection_code"":6,""ruling_date"":""2021-08-01""}","No standalone annual revenue evidence for this fiscal-year-ending year in the captured organization registry/filing listing (or UK filed accounts for ControlAI). This is an availability flag, not zero revenue or proof of nonexistence.",Standalone primary annual return or accounts disclosing revenue for this legal entity and fiscal period; sponsor-wide returns do not close the project-level question.,ID-PROGRESS,PROGRESS,2020,OPEN
