row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,claim,closing_document,input_row_ids,metric,org_id,period,verdict
O-V-IAPS-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-IAPS,,IAPS,,OPEN
O-V-IAPS-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/320839313.json,2026-09-14,"{""name"":""Institute For Ai Policy And Strateg Y Inc"",""ein"":320839313,""subsection_code"":3,""ruling_date"":""2026-04-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-IAPS;DP-IAPS,,IAPS,,OPEN
O-V-HORIZON-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/874657441.json,2026-09-14,"{""name"":""Horizon Institute For Public Service"",""ein"":874657441,""subsection_code"":3,""ruling_date"":""2022-09-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-HORIZON;DP-HORIZON,,HORIZON,,OPEN
O-V-ARI-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-ARI,,ARI,,OPEN
O-V-ARI-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/933248564.json,2026-09-14,"{""name"":""Americans For Responsible Innovation Ltd"",""ein"":933248564,""subsection_code"":4,""ruling_date"":null}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-ARI;DP-ARI,,ARI,,OPEN
O-V-CRI-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/990921925.json,2026-09-14,"{""name"":""Center For Responsible Innovation Ltd"",""ein"":990921925,""subsection_code"":3,""ruling_date"":""2024-07-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-CRI;DP-CRI,,CRI,,OPEN
O-V-PC-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/237104508.json,2026-09-14,"{""name"":""Public Citizen Inc"",""ein"":237104508,""subsection_code"":4,""ruling_date"":""1972-06-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-PC;DP-PC,,PC,,OPEN
O-V-PCF-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/521263996.json,2026-09-14,"{""name"":""Public Citizen Foundation Inc"",""ein"":521263996,""subsection_code"":3,""ruling_date"":""1992-06-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-PCF,,PCF,,OPEN
O-V-PCF-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/521263996.json,2026-09-14,"{""name"":""Public Citizen Foundation Inc"",""ein"":521263996,""subsection_code"":3,""ruling_date"":""1992-06-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-PCF;DP-PCF,,PCF,,OPEN
O-V-FAS-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/237185827.json,2026-09-14,"{""name"":""Federation Of American Scientists"",""ein"":237185827,""subsection_code"":3,""ruling_date"":""1972-07-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-FAS;DP-FAS,,FAS,,OPEN
O-V-PROGRESS-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-PROGRESS,,PROGRESS,,OPEN
O-V-PROGRESS-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-PROGRESS,,PROGRESS,,OPEN
O-V-PROGRESS-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/853963084.json,2026-09-14,"{""name"":""Chamber Of Progress"",""ein"":853963084,""subsection_code"":6,""ruling_date"":""2021-08-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-PROGRESS;DP-PROGRESS,,PROGRESS,,OPEN
O-V-ITIF-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/204403497.json,2026-09-14,"{""name"":""Information Technology And Innovation Foundation"",""ein"":204403497,""subsection_code"":3,""ruling_date"":""2007-01-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-ITIF;DP-ITIF,,ITIF,,OPEN
O-V-TECHFREEDOM-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/273567814.json,2026-09-14,"{""name"":""Techfreedom"",""ein"":273567814,""subsection_code"":3,""ruling_date"":""2014-01-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-TECHFREEDOM,,TECHFREEDOM,,OPEN
O-V-TECHFREEDOM-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/273567814.json,2026-09-14,"{""name"":""Techfreedom"",""ein"":273567814,""subsection_code"":3,""ruling_date"":""2014-01-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-TECHFREEDOM;DP-TECHFREEDOM,,TECHFREEDOM,,OPEN
O-V-NETCHOICE-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-NETCHOICE,,NETCHOICE,,OPEN
O-V-NETCHOICE-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/271716101.json,2026-09-14,"{""name"":""Netchoice"",""ein"":271716101,""subsection_code"":6,""ruling_date"":""2018-04-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-NETCHOICE,,NETCHOICE,,OPEN
O-V-NETCHOICE-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-NETCHOICE,,NETCHOICE,,OPEN
O-V-NETCHOICE-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/271716101.json,2026-09-14,"{""name"":""Netchoice"",""ein"":271716101,""subsection_code"":6,""ruling_date"":""2018-04-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-NETCHOICE;DP-NETCHOICE,,NETCHOICE,,OPEN
O-V-AIPN-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-AIPN,,AIPN,,OPEN
O-V-AIPN-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/994513850.json,2026-09-14,"{""name"":""Ai Policy Network Inc"",""ein"":994513850,""subsection_code"":4,""ruling_date"":""2025-09-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-AIPN,,AIPN,,OPEN
O-V-AIPN-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-AIPN,,AIPN,,OPEN
O-V-AIPN-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/994513850.json,2026-09-14,"{""name"":""Ai Policy Network Inc"",""ein"":994513850,""subsection_code"":4,""ruling_date"":""2025-09-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-AIPN;DP-AIPN,,AIPN,,OPEN
O-V-ENCODER-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-ENCODER,,ENCODER,,OPEN
O-V-ENCODER-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/333199430.json,2026-09-14,"{""name"":""Encode Research Foundation"",""ein"":333199430,""subsection_code"":3,""ruling_date"":""2025-06-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-ENCODER,,ENCODER,,OPEN
O-V-ENCODER-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-ENCODER,,ENCODER,,OPEN
O-V-ENCODER-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/333199430.json,2026-09-14,"{""name"":""Encode Research Foundation"",""ein"":333199430,""subsection_code"":3,""ruling_date"":""2025-06-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-ENCODER;DP-ENCODER,,ENCODER,,OPEN
O-V-AIPI-STATUS,,https://theaipi.org/donate/,2026-09-14,We’re a donor-supported 501(c)(3) non-profit.,Self-description only. Separate standalone EIN and determination letter unresolved. SFF lists The Hack Foundation as receiving charity; project-level money is not the sponsor’s total revenue.,The legal identity and stated tax status are verified,IRS determination/registry entry identifying the unresolved standalone legal entity; UK charity registry or tax document where charitable status is claimed.,ID-AIPI,,AIPI,,OPEN
O-V-AIPI-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-AIPI,,AIPI,,OPEN
O-V-AIPI-DECLARED,,https://theaipi.org/donate/,2026-09-14,We’re a donor-supported 501(c)(3) non-profit.,KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-AIPI,,AIPI,,OPEN
O-V-AIPI-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-AIPI,,AIPI,,OPEN
O-V-AIPI-SHARES,,https://theaipi.org/donate/,2026-09-14,We’re a donor-supported 501(c)(3) non-profit.,"Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-AIPI;DP-AIPI,,AIPI,,OPEN
O-V-ENCODE-STATUS,,https://encodeai.org/privacy-policy/,2026-09-14,"Encode AI Corporation, a 501(c)(4) social welfare organization",Own legal notice establishes the name and claimed status. IRS determination/EIN not located in the bounded search; registry status remains OPEN.,The legal identity and stated tax status are verified,IRS determination/registry entry identifying the unresolved standalone legal entity; UK charity registry or tax document where charitable status is claimed.,ID-ENCODE,,ENCODE,,OPEN
O-V-ENCODE-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-ENCODE,,ENCODE,,OPEN
O-V-ENCODE-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-ENCODE,,ENCODE,,OPEN
O-V-ENCODE-SHARES,,https://encodeai.org/privacy-policy/,2026-09-14,"Encode AI Corporation, a 501(c)(4) social welfare organization","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-ENCODE;DP-ENCODE,,ENCODE,,OPEN
O-V-CONTROL-STATUS,,https://find-and-update.company-information.service.gov.uk/company/15088415,2026-09-14,Private Limited Company by guarantee without share capital use of 'Limited' exemption,Companies House confirms legal existence and company form. Company registration is not charitable tax status. Former name Secure Future Research Ltd; no charity registration inferred.,The legal identity and stated tax status are verified,IRS determination/registry entry identifying the unresolved standalone legal entity; UK charity registry or tax document where charitable status is claimed.,ID-CONTROL,,CONTROL,,OPEN
O-V-CONTROL-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-CONTROL,,CONTROL,,OPEN
O-V-CONTROL-DECLARED,,https://find-and-update.company-information.service.gov.uk/company/15088415,2026-09-14,Private Limited Company by guarantee without share capital use of 'Limited' exemption,KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-CONTROL,,CONTROL,,OPEN
O-V-CONTROL-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-CONTROL,,CONTROL,,OPEN
O-V-CONTROL-SHARES,,https://find-and-update.company-information.service.gov.uk/company/15088415,2026-09-14,Private Limited Company by guarantee without share capital use of 'Limited' exemption,"Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-CONTROL;DP-CONTROL,,CONTROL,,OPEN
O-V-REMATCH-SCOPE,,https://projects.propublica.org/nonprofits/full_text/202621329349306657/IRS990ScheduleI,2026-09-14,"{""RM-VG062"": ""46,011"", ""RM-VG063"": ""164,050"", ""RM-VG064"": ""1,500,000"", ""RM-VG067"": ""463,490"", ""RM-VG068"": ""100,000"", ""RM-VG069"": ""1,082,500"", ""RM-VG070"": ""252,000"", ""RM-VG071"": ""2,000,000"", ""RM-VG072"": ""600,000"", ""RM-VG073"": ""6,585,000"", ""RM-VG075"": ""25,100,000"", ""RM-VG076"": ""143,000"", ""RM-VG077"": ""400,000"", ""RM-VG080"": ""1,210,500"", ""RM-VG082"": ""5,248,902"", ""RM-VG085"": ""4,219,061"", ""RM-VG088"": ""2,700,000"", ""RM-VG089"": ""168,960"", ""RM-VG090"": ""2,500,000"", ""RM-VG092"": ""44,000"", ""RM-VG094"": ""4,000,000"", ""RM-VG095"": ""1,075,000"", ""RM-VG099"": ""1,000,000"", ""RM-VG100"": ""1,595,226"", ""RM-VG101"": ""3,350,000"", ""RM-VG102"": ""80,000""}",The author’s recipient labels include AI safety and broader EA infrastructure; grant rows do not allocate all recipient spending to policy messaging.,Every dollar in the selected cluster is established as AI-regulation messaging spending,Grant restrictions and recipient project-expense disclosures that identify the share used for regulation messaging.,RM-FIGURE-2025;RM-AI-2025,,,,OPEN
O-V-REMATCH-TENDER,,https://raw.githubusercontent.com/kevinnbass/metr-money-figure/master/figures/metr-17-the-vanguard-channel.html,2026-09-14,"The Vanguard channel: donor-advised money to the AI-safety cluster grew from $8M to $66M in the year of Anthropic's first tender offer, and no filing says whose it is",Primary Vanguard fiscal-period dates are established. No primary tender-offer document confirming both the first-offer status and transaction dates was verified; the temporal and causal link is not established.,The increase occurred in the year of Anthropic’s first tender offer,"Public tender-offer announcement, transaction document or company filing establishing first-offer status, opening/settlement dates and relevant proceeds timing.",D-REMATCH-CLAIM;RM-FIGURE-2024;RM-FIGURE-2025,,,,OPEN
