row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,company_number,ein,family,legal_name,org_id,org_name,side,source_file,tax_status,verdict
ID-FAS,,https://projects.propublica.org/nonprofits/api/v2/organizations/237185827.json,2026-09-14,"{""name"":""Federation Of American Scientists"",""ein"":237185827,""subsection_code"":3,""ruling_date"":""1972-07-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,237185827,FAS,Federation Of American Scientists,FAS,Federation of American Scientists,comparator,sources/org-237185827.json,501(c)(3),KEEP
ID-PROGRESS,,https://projects.propublica.org/nonprofits/api/v2/organizations/853963084.json,2026-09-14,"{""name"":""Chamber Of Progress"",""ein"":853963084,""subsection_code"":6,""ruling_date"":""2021-08-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,853963084,PROGRESS,Chamber Of Progress,PROGRESS,Chamber of Progress,industry,sources/org-853963084.json,501(c)(6),KEEP
ID-ITIF,,https://projects.propublica.org/nonprofits/api/v2/organizations/204403497.json,2026-09-14,"{""name"":""Information Technology And Innovation Foundation"",""ein"":204403497,""subsection_code"":3,""ruling_date"":""2007-01-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,204403497,ITIF,Information Technology And Innovation Foundation,ITIF,Information Technology and Innovation Foundation,industry,sources/org-204403497.json,501(c)(3),KEEP
ID-TECHFREEDOM,,https://projects.propublica.org/nonprofits/api/v2/organizations/273567814.json,2026-09-14,"{""name"":""Techfreedom"",""ein"":273567814,""subsection_code"":3,""ruling_date"":""2014-01-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,273567814,TECHFREEDOM,Techfreedom,TECHFREEDOM,TechFreedom,industry,sources/org-273567814.json,501(c)(3),KEEP
ID-NETCHOICE,,https://projects.propublica.org/nonprofits/api/v2/organizations/271716101.json,2026-09-14,"{""name"":""Netchoice"",""ein"":271716101,""subsection_code"":6,""ruling_date"":""2018-04-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,271716101,NETCHOICE,Netchoice,NETCHOICE,NetChoice,industry,sources/org-271716101.json,501(c)(6),KEEP
ID-AIPN,,https://projects.propublica.org/nonprofits/api/v2/organizations/994513850.json,2026-09-14,"{""name"":""Ai Policy Network Inc"",""ein"":994513850,""subsection_code"":4,""ruling_date"":""2025-09-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,994513850,AIPI,Ai Policy Network Inc,AIPN,AI Policy Network,safety,sources/org-994513850.json,501(c)(4),KEEP
ID-ENCODER,,https://projects.propublica.org/nonprofits/api/v2/organizations/333199430.json,2026-09-14,"{""name"":""Encode Research Foundation"",""ein"":333199430,""subsection_code"":3,""ruling_date"":""2025-06-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",,333199430,ENCODE,Encode Research Foundation,ENCODER,Encode Research Foundation,safety,sources/org-333199430.json,501(c)(3),KEEP
ID-AIPI,,https://theaipi.org/donate/,2026-09-14,We’re a donor-supported 501(c)(3) non-profit.,Self-description only. Separate standalone EIN and determination letter unresolved. SFF lists The Hack Foundation as receiving charity; project-level money is not the sponsor’s total revenue.,,,AIPI,Unresolved standalone legal entity,AIPI,AI Policy Institute,safety,sources/aipi-donate.html,Self-described charity; fiscal-sponsored recommendation identified,OPEN
ID-ENCODE,,https://encodeai.org/privacy-policy/,2026-09-14,"Encode AI Corporation, a 501(c)(4) social welfare organization",Own legal notice establishes the name and claimed status. IRS determination/EIN not located in the bounded search; registry status remains OPEN.,,,ENCODE,Encode AI Corporation,ENCODE,Encode AI Corporation / Encode Justice,safety,sources/encode-privacy.html,Self-described 501(c)(4),OPEN
ID-CONTROL,,https://find-and-update.company-information.service.gov.uk/company/15088415,2026-09-14,Private Limited Company by guarantee without share capital use of 'Limited' exemption,Companies House confirms legal existence and company form. Company registration is not charitable tax status. Former name Secure Future Research Ltd; no charity registration inferred.,15088415,,CONTROL,CONTROLAI,CONTROL,ControlAI (UK),safety,sources/controlai-registry.html,UK company limited by guarantee; charitable tax status OPEN,KEEP
