row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,currency,funder,grant_title,money_type,org_id,period,purpose,source_file,source_row,verdict
A-CG-1222,1866559.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$1,866,559.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Center for AI Safety — Exit Grant (October 2023),published_award,CAIS,2023-10,"Open Philanthropy recommended a grant of $1,866,559 to the Center for AI Safety (CAIS) for general support. CAIS works on research, field-building, and advocacy to reduce existential risks from artificial intelligence.

This follows our April 2023 support and falls within our focus area of potential risks from advanced artificial intelligence. It represents an “exit grant” that will provide CAIS with approximately one year of operational support.",sources/coefficient-archive.csv,1222,KEEP
A-CG-1296,11510081.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$11,510,081.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Institute for AI Policy and Strategy — General Support (2025),published_award,IAPS,2025-04,"Open Philanthropy recommended a grant of $11,510,081 over two years to the Institute for AI Policy and Strategy for general support. The Institute for AI Policy and Strategy is a think tank focused on AI policy and standards, compute governance, and international governance.

This follows our April 2024 support and falls within our focus area of potential risks from advanced artificial intelligence.",sources/coefficient-archive.csv,1296,KEEP
A-CG-1662,3000000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$3,000,000.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Americans for Responsible Innovation — General Support,published_award,ARI,2024-08,"Open Philanthropy recommended a grant of $3,000,000 over two years to Americans for Responsible Innovation (ARI) for general support. ARI is a nonprofit advocacy organization focused on artificial intelligence.

This falls within our focus area of potential risks from advanced artificial intelligence.",sources/coefficient-archive.csv,1662,KEEP
A-CG-1666,3000000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$3,000,000.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Center for Responsible Innovation — General Support,published_award,CRI,2024-08,"Open Philanthropy recommended a grant of $3,000,000 over two years to the Center for Responsible Innovation (CRI) for general support. CRI is a nonprofit focused on AI-related issue promotion, policy research and development, and educational programming.
This falls within our focus area of potential risks from advanced artificial intelligence.",sources/coefficient-archive.csv,1666,KEEP
A-CG-1671,3011895.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$3,011,895.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Institute for AI Policy and Strategy — General Support (January 2024),published_award,IAPS,2024-01,"Open Philanthropy recommended a grant of $3,011,895 to the Institute for AI Policy and Strategy to support staff salaries and other operational costs, including researcher development. The Institute for AI Policy and Strategy (IAPS) is a think tank that studies AI policy and standards, compute governance, and international governance.

This falls within our focus area of potential risks from advanced artificial intelligence.

The grant amount was updated in July 2024.",sources/coefficient-archive.csv,1671,KEEP
A-CG-1770,352150.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$352,150.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Federation of American Scientists — High-Skilled Immigration Reform,published_award,FAS,2023-02,"Open Philanthropy recommended a grant of $352,150 over two years to the Federation of American Scientists to support research and advocacy related to immigration reform for high-skilled workers.

This follows our July 2021 support and falls within our focus area of innovation policy.

The grant amount was updated in January 2025.",sources/coefficient-archive.csv,1770,KEEP
A-CG-1812,4025729.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$4,025,729.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Center for AI Safety — General Support (2023),published_award,CAIS,2023-04,"Open Philanthropy recommended a grant of $4,025,729 to the Center for AI Safety for general support. The Center for AI Safety works on research, field-building, and advocacy to reduce existential risks from artificial intelligence.

This follows our November 2022 support and falls within our focus area of potential risks from advanced artificial intelligence.",sources/coefficient-archive.csv,1812,KEEP
A-CG-1910,5160000.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$5,160,000.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Center for AI Safety — General Support (2022),published_award,CAIS,2022-11,"Open Philanthropy recommended a grant of $5,160,000 to the Center for AI Safety (CAIS) for general support. The Center for AI Safety does technical research and field-building aimed at reducing catastrophic and existential risks from artificial intelligence.

This falls within our focus area of potential risks from advanced artificial intelligence.",sources/coefficient-archive.csv,1910,KEEP
A-CG-2194,828049.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$828,049.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Institute for AI Policy and Strategy — General Support (April 2024),published_award,IAPS,2024-04,"Open Philanthropy recommended a grant of $828,049 to the Institute for AI Policy and Strategy to support staff salaries and other operational costs, including researcher development. The Institute for AI Policy and Strategy (IAPS) is a think tank that studies AI policy and standards, compute governance, and international governance.

This follows our January 2024 support and falls within our focus area of potential risks from advanced artificial intelligence.",sources/coefficient-archive.csv,2194,KEEP
A-CG-2451,1167513.00,https://coefficientgiving.org/wp-content/uploads/Coefficient-Giving-Grants-Archive.csv,2026-09-14,"$1,167,513.00",Funder-published award/recommendation record; neither cash payment timing nor paying legal entity established by this archive. Do not add to filed grants.,USD,Coefficient Giving / Open Philanthropy,Safe AI Forum — Operating Expenses,published_award,SAIF,2023-12,"Open Philanthropy recommended two grants totaling $1,167,513 to the Safe AI Forum to support its work on AI policy.

This falls within our focus area of potential risks from advanced artificial intelligence.",sources/coefficient-archive.csv,2451,KEEP
