row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,author_amount,author_name,author_row_id,author_tier,currency,funder,money_type,object_id,period_end,period_start,purpose,recipient_ein,recipient_name,schedule_row,source_fields,source_file,verdict
RM-VG011,57250,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"57,250","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",57250,Faunalytics,VG011,C-EA animal,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,010686889,FAUNALYTICS,6321,"{""CashGrantAmt[1]"": ""57,250"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""FAUNALYTICS"", ""RecipientEIN[1]"": ""01-0686889"", ""USAddress[1]/AddressLine1Txt[1]"": ""PO BOX 152703"", ""USAddress[1]/CityNm[1]"": ""SAN DIEGO"", ""USAddress[1]/StateAbbreviationCd[1]"": ""CA"", ""USAddress[1]/ZIPCd[1]"": ""92195"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG012,52500,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"52,500","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",52500,Fish Welfare Initiative,VG012,C-EA animal,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,852065536,FISH WELFARE INITIATIVE,6724,"{""CashGrantAmt[1]"": ""52,500"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""FISH WELFARE INITIATIVE"", ""RecipientEIN[1]"": ""85-2065536"", ""USAddress[1]/AddressLine1Txt[1]"": ""3123 BUTTERFLY DR"", ""USAddress[1]/CityNm[1]"": ""NORMAL"", ""USAddress[1]/StateAbbreviationCd[1]"": ""IL"", ""USAddress[1]/ZIPCd[1]"": ""61761"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG013,161000,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"161,000","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",161000,Founders Pledge Inc,VG013,A-EA infrastructure,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,371795297,FOUNDERS PLEDGE INC,6981,"{""CashGrantAmt[1]"": ""161,000"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""FOUNDERS PLEDGE INC"", ""RecipientEIN[1]"": ""37-1795297"", ""USAddress[1]/AddressLine1Txt[1]"": ""228 PARK AVE S PMB 71081 NE"", ""USAddress[1]/CityNm[1]"": ""NEW YORK"", ""USAddress[1]/StateAbbreviationCd[1]"": ""NY"", ""USAddress[1]/ZIPCd[1]"": ""10003"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG014,8942961,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"8,942,961","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",8942961,GiveDirectly,VG014,B-EA global health,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,271661997,GIVEDIRECTLY INC,7588,"{""CashGrantAmt[1]"": ""8,942,961"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""GIVEDIRECTLY INC"", ""RecipientEIN[1]"": ""27-1661997"", ""USAddress[1]/AddressLine1Txt[1]"": ""PO BOX 3221"", ""USAddress[1]/CityNm[1]"": ""NEW YORK"", ""USAddress[1]/StateAbbreviationCd[1]"": ""NY"", ""USAddress[1]/ZIPCd[1]"": ""10008"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG015,5045538,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"5,045,538","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",5045538,Good Food Institute,VG015,C-EA animal,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,810840578,GOOD FOOD INSTITUTE INC,7702,"{""CashGrantAmt[1]"": ""5,045,538"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""GOOD FOOD INSTITUTE INC"", ""RecipientEIN[1]"": ""81-0840578"", ""USAddress[1]/AddressLine1Txt[1]"": ""2503D N HARRISON ST 19"", ""USAddress[1]/CityNm[1]"": ""ARLINGTON"", ""USAddress[1]/StateAbbreviationCd[1]"": ""VA"", ""USAddress[1]/ZIPCd[1]"": ""22207"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG016,348383,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"348,383","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",348383,Helen Keller International,VG016,B-EA global health,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,135562162,HELEN KELLER INTERNATIONAL,8449,"{""CashGrantAmt[1]"": ""348,383"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""HELEN KELLER INTERNATIONAL"", ""RecipientEIN[1]"": ""13-5562162"", ""USAddress[1]/AddressLine1Txt[1]"": ""1 DAG HAMMARSKJOLD PLZ FL 2"", ""USAddress[1]/CityNm[1]"": ""NEW YORK"", ""USAddress[1]/StateAbbreviationCd[1]"": ""NY"", ""USAddress[1]/ZIPCd[1]"": ""10017"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG017,997405,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"997,405","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",997405,Malaria Consortium,VG017,B-EA global health,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,980627052,MALARIA CONSORTIUM,11158,"{""CashGrantAmt[1]"": ""997,405"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""MALARIA CONSORTIUM"", ""RecipientEIN[1]"": ""98-0627052"", ""USAddress[1]/AddressLine1Txt[1]"": ""PO BOX 6334"", ""USAddress[1]/CityNm[1]"": ""HERMITAGE"", ""USAddress[1]/StateAbbreviationCd[1]"": ""PA"", ""USAddress[1]/ZIPCd[1]"": ""16148"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG018,2279562,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"2,279,562","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",2279562,Mercy for Animals,VG018,C-EA animal,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,542076145,MERCY FOR ANIMALS,11561,"{""CashGrantAmt[1]"": ""2,279,562"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""MERCY FOR ANIMALS"", ""RecipientEIN[1]"": ""54-2076145"", ""USAddress[1]/AddressLine1Txt[1]"": ""8033 W SUNSET BLVD"", ""USAddress[1]/CityNm[1]"": ""LOS ANGELES"", ""USAddress[1]/StateAbbreviationCd[1]"": ""CA"", ""USAddress[1]/ZIPCd[1]"": ""90046"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG019,233372,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"233,372","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",233372,New Incentives,VG019,B-EA global health,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,452368993,NEW INCENTIVES,12657,"{""CashGrantAmt[1]"": ""233,372"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""NEW INCENTIVES"", ""RecipientEIN[1]"": ""45-2368993"", ""USAddress[1]/AddressLine1Txt[1]"": ""440 N BARRANCA AVE UNIT 6133"", ""USAddress[1]/CityNm[1]"": ""COVINA"", ""USAddress[1]/StateAbbreviationCd[1]"": ""CA"", ""USAddress[1]/ZIPCd[1]"": ""91723"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG020,14000,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"14,000","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",14000,Nuclear Threat Initiative,VG020,A-borderline,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,522289435,NUCLEAR THREAT INITIATIVE INC,13091,"{""CashGrantAmt[1]"": ""14,000"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""NUCLEAR THREAT INITIATIVE INC"", ""RecipientEIN[1]"": ""52-2289435"", ""USAddress[1]/AddressLine1Txt[1]"": ""1776 I ST NW STE 600"", ""USAddress[1]/CityNm[1]"": ""WASHINGTON"", ""USAddress[1]/StateAbbreviationCd[1]"": ""DC"", ""USAddress[1]/ZIPCd[1]"": ""20006"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG021,154760,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"154,760","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",154760,One Acre Fund,VG021,B-EA global health,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,203668110,ONE ACRE FUND,13256,"{""CashGrantAmt[1]"": ""154,760"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""ONE ACRE FUND"", ""RecipientEIN[1]"": ""20-3668110"", ""USAddress[1]/AddressLine1Txt[1]"": ""1954 FIRST STREET SUITE 183"", ""USAddress[1]/CityNm[1]"": ""HIGHLAND PARK"", ""USAddress[1]/StateAbbreviationCd[1]"": ""IL"", ""USAddress[1]/ZIPCd[1]"": ""60035"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
RM-VG022,1000000,https://projects.propublica.org/nonprofits/full_text/202441359349309439/IRS990ScheduleI,2026-09-14,"1,000,000","Primary filing rematch by recipient EIN and exact fiscal period. Author-selected tier retained as a classification claim, not a finding about each recipient’s activities.",1000000,Ought (Elicit),VG022,A-AI safety,USD,Vanguard,filed_cash_grant,202441359349309439,2023-06-30,2022-07-01,FOR RECIPIENT'S EXEMPT PURPOSE,812121304,OUGHT INC,13454,"{""CashGrantAmt[1]"": ""1,000,000"", ""IRCSectionDesc[1]"": ""501(C)3"", ""NonCashAssistanceDesc[1]"": ""N/A"", ""PurposeOfGrantTxt[1]"": ""FOR RECIPIENT'S EXEMPT PURPOSE"", ""RecipientBusinessName[1]/BusinessNameLine1Txt[1]"": ""OUGHT INC"", ""RecipientEIN[1]"": ""81-2121304"", ""USAddress[1]/AddressLine1Txt[1]"": ""340 S LEMON AVE 4405"", ""USAddress[1]/CityNm[1]"": ""WALNUT"", ""USAddress[1]/StateAbbreviationCd[1]"": ""CA"", ""USAddress[1]/ZIPCd[1]"": ""91789"", ""ValuationMethodUsedDesc[1]"": ""FMV""}",sources/schedule-202441359349309439.html,KEEP
