path,bytes,sha256,source_url,snapshot_date,role
sources/bass-tarbell_funding.csv,2420,4c5b56f68981dd274f2928d89183b353f08f2453e1361d754994c254a5c94b5e,https://raw.githubusercontent.com/kevinnbass/metr-money-figure/17539bac0dfa40ba8b93d530e0544c883903c3ca/research/tarbell_funding.csv,2026-09-15,primary_or_claim_source_see_filename
sources/bass-tarbell_funding.csv.meta.json,431,9f230bab672323174648290202d7bd87e47a82d8e599643b79500d4503524b35,,,primary_or_claim_source_see_filename
sources/encode-privacy.html,85858,4f34c6dff34b03f237f7d74343b85083d71887ecd5b102c94643b97c284f6fc3,https://encodeai.org/privacy-policy/,2026-09-14,primary_or_claim_source_see_filename
sources/encode-privacy.html.meta.json,239,d3cd464ecc2868de8634572b5ec81615039c569efc043d01591d7ae56cebc0cf,,,primary_or_claim_source_see_filename
sources/fli-2015-review.html,237199,c1ba00e9658f2b1cb2f61007e804bccb909e315184358e998a1d8957ccf908cf,https://futureoflife.org/newsletter/2015-a-year-in-review/,2026-09-15,primary_or_claim_source_see_filename
sources/fli-2015-review.html.meta.json,283,f6bc4bd5303539683b0de126e7884fa21b92dc686a556363a7eb9a5931eaaf01,,,primary_or_claim_source_see_filename
sources/fli-funding.html,210451,bf62baa0f81b8028a331e46be391e5faae3c72abe637c367f43d883e32a0ba82,https://futureoflife.org/about-us/funding/,2026-09-14,primary_or_claim_source_see_filename
sources/fli-funding.html.meta.json,252,e0e214fcc20ac46de72b34cf0cfe548800a1839003ca8c5ae48eb163798b9a81,,,primary_or_claim_source_see_filename
sources/metr-about.html,92522,a03b6bcdf177fdebccd47cc9595211a2b1e3ff12a7e70e81ced028c9ca18de99,https://metr.org/about,2026-09-15,primary_or_claim_source_see_filename
sources/metr-about.html.meta.json,211,cac28b438063c8fa90597c1e7876da3a4730d488c22dfe77b2d1b904b318235e,,,primary_or_claim_source_see_filename
sources/poole-thread.html.error.json,207,6dbcdb3a27572eb479dde37e59812955be54832238c62ce492157dd52491f30e,,,primary_or_claim_source_see_filename
sources/rematch-tree.json,718435,fd9f0cf407bee8c21ceff4401e2837bd5d5a4bc7c0383a72d0a74a82cdcc712b,https://api.github.com/repos/kevinnbass/metr-money-figure/git/trees/master?recursive=1,2026-09-14,primary_or_claim_source_see_filename
sources/rematch-tree.json.meta.json,339,b33f591f601197728e277ba076f213acce81b9c96758054f3404c6938bf5907f,,,primary_or_claim_source_see_filename
sources/robots-futureoflife.org.txt,162,abc9bb74d7e50902362ec00382306501d72ee0d34c54ee243920a8c8dc064ae1,,,primary_or_claim_source_see_filename
sources/robots-jaan.info.txt,26,331ea9090db0c9f6f597bd9840fd5b171830f6e0b3ba1cb24dfa91f0c95aedc1,,,primary_or_claim_source_see_filename
sources/robots-metr.org.txt,173,1a8415f9891f608c8efa500921fbc6e6c8b7a7cff93e35058819336c047e9ac5,,,primary_or_claim_source_see_filename
sources/robots-raw.githubusercontent.com.txt,42,a762eab935219b5dfea384ea18a44b39aa3717a03802c6045510129ab81221b8,,,primary_or_claim_source_see_filename
sources/robots-survivalandflourishing.fund.txt,42,a762eab935219b5dfea384ea18a44b39aa3717a03802c6045510129ab81221b8,,,primary_or_claim_source_see_filename
sources/robots-x.com.txt,2678,14a72e33b3e9af07e1e8f5f645bfa00ed3fe9f9c87249d861d369d33d3f3ddc6,,,primary_or_claim_source_see_filename
sources/sff-2019.html,51499,9fc2112cc58312f821ca8d767cbf485707c61334fe3cfc97be99fb314282ff85,https://survivalandflourishing.fund/2019/recommendations,2026-09-14,primary_or_claim_source_see_filename
sources/sff-2019.html.meta.json,279,bad186ead782c64c3cc7a86e44085497500e68f2d3c6c85ccf9940787e973b21,,,primary_or_claim_source_see_filename
sources/sff-2020-h1.html,50902,07f9b79c16fc8ccc624406bae74e3d834b37d316a27d042493eec29dacac75fb,https://survivalandflourishing.fund/2020/h1/recommendations,2026-09-14,primary_or_claim_source_see_filename
sources/sff-2020-h1.html.meta.json,285,356304f9a4389c3a75c45317649260a781a8e8a56bb1e04f961f06f06bb69b90,,,primary_or_claim_source_see_filename
sources/sff-2020-h2.html,50186,387ccffd3d39eaef53df79faa62abad897523302f0425acad26fccbbc17c63ab,https://survivalandflourishing.fund/2020/h2/recommendations,2026-09-14,primary_or_claim_source_see_filename
sources/sff-2020-h2.html.meta.json,285,d1934c390ba2b6b17ba81f12a82f737aeeb05172eee9ea2aa8a1fbe73dc3840d,,,primary_or_claim_source_see_filename
sources/sff-2021-h1.html,51722,e692141bf0eeb9b862d301d0288df5ab3a0c63e1a281918c12348fd710d20fd6,https://survivalandflourishing.fund/2021/h1/recommendations,2026-09-14,primary_or_claim_source_see_filename
sources/sff-2021-h1.html.meta.json,285,eb8be2940dc1dbfd446134d17333142e3eb6b4fc06bed58ea5badcc5701e6460,,,primary_or_claim_source_see_filename
sources/sff-2021-h2.html,46795,02f3d24cb3cb7222a18b0964dcd2acfe7aaad00461d22c6658bd96034356cf79,https://survivalandflourishing.fund/2021/h2/recommendations,2026-09-14,primary_or_claim_source_see_filename
sources/sff-2021-h2.html.meta.json,285,d72582ebf2522c621141e9aeb49b06f04ca443006ac68a6eb5ec5714d836df7d,,,primary_or_claim_source_see_filename
sources/sff-2022-h1.html,50962,e4a735d0f1fd70ce19d6850cd3ed8260302922f5b2391f3b4e465836219d1aef,https://survivalandflourishing.fund/2022/h1/recommendations,2026-09-14,primary_or_claim_source_see_filename
sources/sff-2022-h1.html.meta.json,285,1f57a0addc2416627e8523ec19a87dc4365b5deb163d3e126f59e8e1b261890d,,,primary_or_claim_source_see_filename
sources/sff-2022-h2.html,49595,731b36fd9c1588e60ed0fdcb067ec96e57e74712e7f9350fe963c8cc8f495072,https://survivalandflourishing.fund/2022/h2/recommendations,2026-09-14,primary_or_claim_source_see_filename
sources/sff-2022-h2.html.meta.json,285,30e43dad213a50ef91fee6044c49b614ba6b2f0f5b45ae31ff68b1982bc0c723,,,primary_or_claim_source_see_filename
sources/sff-2023-h1.html,49637,f4bdad1b94cdf09d427f6f5bdac2cf9f8a37960d1b74f5a271af177e15e1a542,https://survivalandflourishing.fund/2023/h1/recommendations,2026-09-14,primary_or_claim_source_see_filename
sources/sff-2023-h1.html.meta.json,285,9f059aa2130e84cf99abf28bca1d39cd1efa665d7eb75b487954ad6d2f4d01ea,,,primary_or_claim_source_see_filename
sources/sff-2023-h2.html,85822,5ff2cef9534b016270ea3bc45f104cafd39890f7a4e2f169278796e20b1cd6d0,https://survivalandflourishing.fund/2023/h2/recommendations,2026-09-14,primary_or_claim_source_see_filename
sources/sff-2023-h2.html.meta.json,285,dd7fb8a37688b87dbd0b0092a8df85517b5ec5cccdf81e8a191aec69b112fd88,,,primary_or_claim_source_see_filename
sources/sff-2024.html,90523,c8951c7bd6a05dda0eb4d9d997e612f899adb468a3cb6ba45ee80b7d2841eab3,https://survivalandflourishing.fund/2024/recommendations,2026-09-14,primary_or_claim_source_see_filename
sources/sff-2024.html.meta.json,279,e22add5642c8511b352cdfb9b4fb1493beb9e741e4c65be56c87924b76fce8f9,,,primary_or_claim_source_see_filename
sources/sff-2025-further.html,55380,2efae02b0f15ff0d828f2ae3debe22228b78a3bf40ff79d3e31741ee98205c36,https://survivalandflourishing.fund/2025/further-opportunities,2026-09-15,primary_or_claim_source_see_filename
sources/sff-2025-further.html.meta.json,291,dcbf7e1188c6e4478a604e2218626efc8e3c8d0ae4274e7568107a3b06ff73c8,,,primary_or_claim_source_see_filename
sources/sff-2025.html,105016,2826098681a25dfcde3a5e2dae2d13781b14343e023d547a034f6c398961941e,https://survivalandflourishing.fund/2025/recommendations,2026-09-14,primary_or_claim_source_see_filename
sources/sff-2025.html.meta.json,279,1bc4175cbe93ae3fa8e59dd9c82fd2a91b88642fd2d2984e09869b584ea723a5,,,primary_or_claim_source_see_filename
sources/sff-home.html,219710,cc7e1b0588ef00576fad7cef14fbb3eb44084efca123cd590bb0b6c32a0e4eca,https://survivalandflourishing.fund/,2026-09-14,primary_or_claim_source_see_filename
sources/sff-home.html.meta.json,239,cfe4b9af9473da8c7effaaea3fbfb3463f58e0851540b2376f37ceb083b661c7,,,primary_or_claim_source_see_filename
sources/tallinn-donations.csv.error.json,193,be2b4b9a4acb94f8d13f6ccc0033f386065b36c5a658733ef49938bb545fcae9,,,primary_or_claim_source_see_filename
verdicts.csv,12662,a7199dea896d948894d1cb8d31aa303919c233c83a1968008c901156db21afb4,,,handoff
